epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1501.09,1.53924,0.55593,0.81215,0.9861,0.92712,0.98376,0.56856,1.33802,0.49785,0.8257,0.005743,0.005743,0.005743
45,1545.69,1.55934,0.57584,0.80839,0.9694,0.93179,0.98133,0.59981,1.2671,0.47692,0.82393,0.005644,0.005644,0.005644
46,1590.76,1.51928,0.55523,0.81187,0.97416,0.91176,0.97304,0.60172,1.32075,0.49741,0.82342,0.005545,0.005545,0.005545
47,1635.29,1.55222,0.56185,0.81219,0.96919,0.92529,0.98042,0.56036,1.38936,0.52266,0.82282,0.005446,0.005446,0.005446
48,1680.38,1.56022,0.54494,0.81136,0.97143,0.93791,0.98117,0.56984,1.33813,0.47772,0.82435,0.005347,0.005347,0.005347
49,1725.91,1.52342,0.56291,0.80374,0.97999,0.96047,0.98761,0.58213,1.33132,0.48734,0.82451,0.005248,0.005248,0.005248
50,1771,1.49682,0.55175,0.79792,0.96642,0.94046,0.98163,0.56072,1.37093,0.50425,0.8238,0.005149,0.005149,0.005149
51,1815.71,1.51553,0.56584,0.80625,0.96637,0.93898,0.98137,0.59184,1.28477,0.52235,0.82837,0.00505,0.00505,0.00505
52,1860.91,1.49781,0.57207,0.80985,0.97885,0.90748,0.98181,0.57669,1.36362,0.53574,0.8226,0.004951,0.004951,0.004951
53,1893.81,1.50296,0.54271,0.81485,0.98295,0.94184,0.98315,0.55702,1.37527,0.51428,0.82445,0.004852,0.004852,0.004852
54,1920.11,1.47793,0.54786,0.80921,0.97797,0.9085,0.97701,0.56606,1.29975,0.52126,0.82326,0.004753,0.004753,0.004753
55,1946.14,1.51242,0.55414,0.79862,0.98716,0.93464,0.98372,0.59122,1.24682,0.52171,0.82116,0.004654,0.004654,0.004654
56,1972.08,1.48674,0.53926,0.79963,0.97608,0.93137,0.98317,0.58943,1.29708,0.49009,0.8234,0.004555,0.004555,0.004555
57,1998.16,1.46728,0.55126,0.79927,0.94488,0.95242,0.98367,0.58058,1.32891,0.54155,0.8229,0.004456,0.004456,0.004456
58,2024.05,1.47042,0.52308,0.80405,0.97247,0.92356,0.98659,0.61328,1.19985,0.48846,0.82028,0.004357,0.004357,0.004357
59,2050.34,1.41345,0.52636,0.80283,0.9893,0.9065,0.98372,0.61323,1.21604,0.48942,0.82192,0.004258,0.004258,0.004258
60,2093,1.46934,0.53063,0.80076,0.97134,0.88592,0.97791,0.59793,1.18883,0.52472,0.82028,0.004159,0.004159,0.004159
61,2138.09,1.40068,0.51648,0.8024,0.959,0.91715,0.98236,0.62711,1.22569,0.51137,0.81936,0.00406,0.00406,0.00406
62,2183.24,1.40141,0.51313,0.7979,0.98934,0.90974,0.98417,0.53959,1.46936,0.57305,0.82452,0.003961,0.003961,0.003961
63,2220.09,1.40853,0.51735,0.79906,0.97231,0.90523,0.97946,0.58793,1.29994,0.50443,0.8206,0.003862,0.003862,0.003862
64,2246.5,1.44081,0.52559,0.79705,0.9834,0.97712,0.99363,0.64121,1.18995,0.43562,0.82104,0.003763,0.003763,0.003763
65,2272.6,1.37875,0.49882,0.80421,0.98612,0.9285,0.99134,0.62989,1.17768,0.45793,0.82034,0.003664,0.003664,0.003664
66,2298.38,1.37911,0.52116,0.79099,0.99321,0.95548,0.99382,0.62216,1.24672,0.4644,0.8198,0.003565,0.003565,0.003565
67,2324.01,1.35982,0.50864,0.79349,0.98289,0.93883,0.98818,0.63576,1.13509,0.45294,0.81769,0.003466,0.003466,0.003466
68,2349.88,1.34838,0.50447,0.79951,0.98988,0.95889,0.99374,0.62664,1.19387,0.45228,0.8191,0.003367,0.003367,0.003367
